Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature,Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Weihenstephaner Oktoberfestbier,12.99,,,Marzen / Oktoberfest,Germany,Craft,5.8%,26,"Rich, Balanced, Bready, Bright","Cheese - Nutty & Semi-Firm, Beef","Pint Glass, Stein/Pub Mug",45-50° F,,,
Peak Organic Nut Brown Ale,10.99,,,Brown Ale,"Maine, United States",Craft,5%,,,,"Pint Glass, Stein/Pub Mug",45-50° F,,,Organic
Brooklyn Post Road Pumpkin Ale,3.49,4.7,1,Seasonal Beer,"New York, United States","Craft, Independent Craft Brewer, Seasonal",5%,24,"Vegetal, Balanced, Cinnamon, Vanilla","Cheese - Fresh & Soft, Duck & Game Bird, Pork, Root Vegetables, Salads & Greens, Turkey","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Flying Embers Black Cherry Hard Kombucha,4.99,4.3,2,Hard Kombucha,"California, United States",,7.2%,,"Cherry, Citrus, Fruity, Tart",,,,135,0.0001,Organic
Flying Embers Wild Berry Hard Kombucha,15.39,3.6,1,Hard Kombucha,United States,Craft,4.5%,,"Berry, Bright, Fresh, Fruity",,,,85,0,"Gluten-Free, Organic"
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3,Hard Seltzer,United States,Variety Pack,5%,,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",,Snifter/Goblet/Chalice,40-45° F,95,0,"Gluten-Free, Organic"
Newburyport Pale Ale,10.99,,,American Pale Ale,"Massachusetts, United States",Craft,5.5%,,"Hoppy, Bitter, Citrus, Pine","Chicken, Fruit - Citrus",Pint Glass,45-50° F,,,
Anderson Valley Hop Ottin' IPA,9.99,,,IPA,"California, United States",Craft,7%,78,"Malty, Citrus, Smooth, Balanced","Cured Meats, Cheese - Hard Aged","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Lowenbrau Original,8.89,5,6,Helles Lager,Germany,Craft,5.2%,,,,"Pint Glass, Stein/Pub Mug",40-45° F,,,
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",,Snifter/Goblet/Chalice,40-45° F,,,Organic
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,95,0,Organic
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Avery Maharaja Imperial IPA,8.99,4.8,4,Imperial / Double IPA,"Colorado, United States","Independent Craft Brewer, Craft",10%,102,"Strong, Malty, Hoppy, Thick","Cheese - Nutty & Semi-Firm, Pork",Snifter/Goblet/Chalice,50-55° F,,,
Ace Apple Honey Cider,10.99,,,Cider,"California, United States",,5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Great South Bay Blonde Ambition Ale,12.99,,,Golden / Blonde Ale,"New York, United States","Craft, Independent Craft Brewer",4.9%,,"Apricot, Floral, Fruity, Light, Smooth",,Pint Glass,45-50° F,,,
Full Sail Amber Ale,10.19,5,1,Amber / Red Ale,"Oregon, United States",Craft,6%,31,"Caramel, Floral, Smooth, Sweet","Beef, Cheese - Fresh & Soft, Cheese - Hard Aged, Chicken, Cured Meats, Duck & Game Bird, Nuts, Pork, Turkey",Pint Glass,45-50° F,,,
Weihenstephaner Oktoberfestbier,12.99,,,Marzen / Oktoberfest,Germany,Craft,5.8%,26,"Rich, Balanced, Bready, Bright","Cheese - Nutty & Semi-Firm, Beef","Pint Glass, Stein/Pub Mug",45-50° F,,,
River Horse Oatmeal Milk Stout,12.09,5,1,Milk Stout,"New Jersey, United States",Craft,6.7%,,,,Pint Glass,45-50° F,,,
Captain Lawrence Seasonal,11.49,,,IPA,"New York, United States","Craft, Seasonal",5%,20,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,,,
Pyramid Apricot Ale,9.99,4.9,2,Fruit Beer,"Washington, United States",Craft,5.1%,11,"Flavored, Stone Fruit, Floral, Crisp","Fish - White, Cheese - Fresh & Soft","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Lindemans Cuvee Rene Oude Gueuze,7.75,3.5,1,Gueuze,Belgium,Craft,6%,16,"Balanced, Citrus, Crisp, Dry, Funky, Intense, Sour, Supple, Tart","Beef, Cheese - Blue, Cheese - Fresh & Soft, Cheese - Stinky, Chicken, Fish - Meaty & Oily, Shellfish","Snifter/Goblet/Chalice, Stange",50-55° F,,,
Spiteful Messenger IPA,10.99,,,IPA,"Illinois, United States",Independent Craft Brewer,10.4%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Great Lakes Christmas Ale,14.29,4.9,2,American Pale Ale,"Ohio, United States","Craft, Seasonal",7.5%,30,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,,,
Great Divide Hibernation Ale,2.26,,,Seasonal Beer,"Colorado, United States","Craft, Seasonal",8.7%,,"Hoppy, Malty",,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,,,
Cambridge Brewing Company Great Pumpkin Ale,6.99,,,Seasonal Beer,"Massachusetts, United States","Craft, Seasonal",5.4%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Nebraska Brewing IPA,9.99,,,IPA,"Nebraska, United States",Craft,6.9%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Steel Toe Provider Ale,4.49,,,Golden / Blonde Ale,"Minnesota, United States",Craft,5%,,,,Pint Glass,45-50° F,,,
River Horse IPA,11.56,5,2,IPA,"California, United States",Craft,5.7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Aspall Perronelle's Blush Cider,7.4,,,Cider,England,,5.7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Ace Pumpkin Cider,5.99,,,Cider,"California, United States",,5%,1,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Straffe Hendrik Quad,20.79,,,Quadrupel,Belgium,Craft,11%,,,,Snifter/Goblet/Chalice,50-55° F,,,
Sierra Nevada Narwhal Imperial Stout,10.99,,,Imperial Stout,"California, United States",Craft,10.2%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Wild Blue Bluebery Lager,9.89,5,2,Fruit Beer,"Missouri, United States",Craft,8%,15,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Redhook Long Hammer IPA,8.99,,,IPA,"Washington, United States",Craft,5.7%,44,"Balanced, Citrus, Dry, Fresh, Hoppy","Salads & Greens, Fruit - Citrus","Pint Glass, Snifter/Goblet/Chalice",45-50° F,188,14.9,
Avery Hazyish IPA,11.99,4.8,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,30,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Avery Brewing White Rascal,11.99,4.8,5,Witbier,"Colorado, United States","Independent Craft Brewer, Craft",5.6%,22,"Creamy, Citrus, Yeasty","Duck & Game Bird, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
Avery Brewing Hop Pack,20.99,,,Variety Pack Beer,"Colorado, United States","Craft, Seasonal, Variety Pack",6%,,,,,,,,
Woodchuck Gumption Cider,10.49,4.8,6,Cider,"Vermont, United States",,5.5%,,"Apple, Balanced, Bold, Sweet",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,220,,Gluten-Free
Great Divide Hibernation Ale,2.26,,,Seasonal Beer,"Colorado, United States","Craft, Seasonal",8.7%,,"Hoppy, Malty",,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,,,
Cambridge Brewing Company Great Pumpkin Ale,6.99,,,Seasonal Beer,"Massachusetts, United States","Craft, Seasonal",5.4%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Avery IPA,10.99,4.9,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,69,"Bitter, Hoppy, Pine, Herbal","Fruit - Sweet, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Tecate,12.99,4.6,37,American-Style Lager,Mexico,,4.5%,14,"Light, Grainy, Bready, Bright","Chicken, Salads & Greens",Pint Glass,35-40° F,,,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Dos Equis Ambar,10.49,4.8,14,Amber / Vienna Lager,Mexico,,4.7%,22,"Caramel, Fresh, Honey, Roasted, Smooth, Toasty","Beef, Cheese - Nutty & Semi-Firm, Chicken, Fish - White, Pork","Pilsner Glass, Pint Glass",45-50° F,146,14,
Evil Twin Molotov Cocktail,13.99,,,IPA,"New York, United States",Craft,13%,80,"Strong, Syrupy, Fruity, Sweet","Turkey, Dessert - Fruit","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Summit Seasonal,16.74,4.7,1,Seasonal Beer,"Minnesota, United States","Craft, Seasonal",5.8%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
River Horse IPA,11.56,5,2,IPA,"California, United States",Craft,5.7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Bell's Special Double Cream Stout,12.99,,,Stout,"Michigan, United States","Craft, Seasonal",6.1%,31,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Shock Top Variety Pack,15.49,,,Variety Pack Beer,"Missouri, United States",Variety Pack,5.2%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Cigar City Invasion Pale Ale,9.99,5,1,Pale Ale,"Florida, United States",Craft,5%,36,"Hoppy, Melon - Honeydew, Nectarine","Fruit - Citrus, Cheese - Hard Aged","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
ACE Blackjack Cider,9.99,,,Cider,"California, United States",,9%,1,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Brew Bus Rollin' Dirty Irish Red,10.49,5,2,Amber / Red Ale,"Florida, United States",Craft,5%,,,,Pint Glass,45-50° F,,,
Copper Kettle Mexican Chocolate Stout,10.99,4.3,2,Stout,"Colorado, United States",Craft,7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Nebraska Brewing IPA,9.99,,,IPA,"Nebraska, United States",Craft,6.9%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
ACE Variety Pack,20.99,4.2,2,Variety Pack Beer,United States,"Craft, Variety Pack",5%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Orion Japanese Beer,4.99,4.5,1,Rice Lager,Japan,Craft,5%,,,,"Pint Glass, Pilsner Glass",35-40° F,,,
Pelican Kiwanda Cream Ale,4.99,,,Cream Ale,"Oregon, United States",Craft,5.4%,,,,Pint Glass,45-50° F,,,
Rambling Route Apple Cider,9.99,4,1,Cider,"Washington, United States","Craft, Seasonal",6.9%,,"Apple, Fresh, Fruity",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
New Holland The Poet Stout,10.99,,,Oatmeal Stout,"Michigan, United States",Craft,5.2%,37,,,Pint Glass,45-50° F,,,
Green Flash Soul Style IPA,11.29,5,1,IPA,"California, United States",Craft,6.5%,75,"Citrus, Tropical Fruit, Nectarine, Crisp","Cheese - Fresh & Soft, Fish - White","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Lindemans Cuvee Rene Oude Gueuze,7.75,3.5,1,Gueuze,Belgium,Craft,6%,16,"Balanced, Citrus, Crisp, Dry, Funky, Intense, Sour, Supple, Tart","Beef, Cheese - Blue, Cheese - Fresh & Soft, Cheese - Stinky, Chicken, Fish - Meaty & Oily, Shellfish","Snifter/Goblet/Chalice, Stange",50-55° F,,,
Steel Toe Provider Ale,4.49,,,Golden / Blonde Ale,"Minnesota, United States",Craft,5%,,,,Pint Glass,45-50° F,,,
Finch's Hardcore Chimera,10.74,,,IPA,"Illinois, United States",Craft,9%,,"Strong, Hoppy, Citrus, Caramel","Root Vegetables, Fish - Meaty & Oily","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Bold City Killer Whale Cream Ale,10.49,4.8,1,Pale Ale,"Florida, United States",Craft,4%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
J.K.'s Scrumpy Farmhouse Organic Hard Cider,14.72,5,1,Cider,"Michigan, United States",,6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Organic, Gluten Reduced"
Dos Equis Ranch Water Variety,19.99,,,Variety Pack Beer,Mexico,,4.5%,,,,,,,,
Dos Equis Lager Lime & Salt,10.69,4.6,6,Pale Lager,Mexico,,4.2%,10,"Citrus, Flavored, Fruity, Light",,,,135,12,
Tecate Light,13.99,4.6,11,Light Lager,Mexico,,3.9%,7,"Crisp, Dry, Light","Nuts, Chicken",Pint Glass,35-40° F,110,7.9,
Colbitzer Pilsner,5.49,4.5,1,Pilsner,Germany,,4.9%,,,,Pilsner Glass,40-45° F,,,
Mike's Harder Watermelon,3.99,,,Hard Lemonade,"Illinois, United States",,8%,,,,Pint Glass,40-45° F,,,
Golden Road Brewing Balboa Blonde Ale,11.34,,,Golden / Blonde Ale,"California, United States",Craft,4.8%,15,"Crisp, Fresh, Fruity, Smooth, Sweet",,Pint Glass,45-50° F,,,
Heineken Lager,19.99,4.7,167,Lager,Netherlands,,5%,19,"Grainy, Herbal, Light","Cheese - Nutty & Semi-Firm, Cheese - Stinky",Pint Glass,40-45° F,,,Gluten Reduced
Red Stripe,15.99,4.8,33,Pale Lager,Jamaica,,4.7%,23,"Light, Dry, Grainy",Nuts,Pint Glass,40-45° F,,,
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
Dos Equis Ranch Water Hard Seltzer,11.37,4.5,1,Hard Seltzer,Mexico,,4.5%,1,"Citrus, Crisp, Flavored",,Snifter/Goblet/Chalice,40-45° F,90,0,
Oskar Blues Can-O-Bliss Tropical IPA,19.99,4.6,6,IPA,"Colorado, United States",Craft,7.4%,68,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Julian Harvest Apple Cider,12.99,,,Cider,"California, United States",,7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Anchor Brewing Fog Breaker IPA,10.99,,,IPA,"California, United States",Craft,6.8%,50,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Thorn Brewing Relay IPA,13.79,,,IPA,"California, United States",,7.2%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Three Weavers Day Job Strong Pale Ale,12.99,,,Pale Ale,"California, United States",Independent Craft Brewer,5.6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Sauza Agua Fuerte Mango,10.44,5,1,Hard Seltzer,Mexico,,5%,,,,Pint Glass,40-45° F,115,1,
Pegasus City Highpoint Porch Ale,10.52,,,English Pale Ale / Bitter / ESB,"Texas, United States",Craft,5.2%,,,,"Pint Glass, Stein/Pub Mug",50-55° F,,,
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
Yards George Washington's Tavern Porter,11.99,,,Porter,"Pennsylvania, United States",Craft,7%,,,,"Pint Glass, Stein/Pub Mug",45-50° F,,,
Lone Pine Brightside IPA,15.29,,,IPA,"Maine, United States",Independent Craft Brewer,7.1%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Crazy Uncle Hard Root Beer For Grown Ups,4.39,5,3,Hard Soda,Canada,,5%,,,,Pint Glass,50-55° F,,,
Rhinegeist RGBEVs Bubbles,11.99,,,Fruit Beer,"Ohio, United States","Craft, Independent Craft Brewer",5%,,,"Cheese - Fresh & Soft, Dessert - Chocolate & Coffee, Fruit - Dried, Fruit - Sweet, Salads & Greens, Shellfish","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Second Line Brewing Saison Named Desire,10.99,4.7,2,Saison / Farmhouse Ale,"Louisiana, United States",Craft,5.6%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Spencer Trappist Imperial Stout,15.49,,,Imperial Stout,"Massachusetts, United States",Craft,8.7%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Lawson's Finest Liquids Hopzilla Double IPA,17.79,4.9,1,Imperial / Double IPA,"Vermont, United States",Craft,8.7%,,,,Snifter/Goblet/Chalice,50-55° F,,,
Duvel Single Fermented Belgian Golden Ale,16.36,,,Golden / Blonde Ale,Belgium,Craft,6.8%,,,,Pint Glass,45-50° F,,,
Wachusett Mass Soul IPA,10.84,,,IPA,"Massachusetts, United States",Craft,6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Big Top Hawaiian Lion Coconut Coffee Porter,11.98,4.9,4,Porter,"Florida, United States",Craft,7.5%,,"Coconut, Coffee",,"Pint Glass, Stein/Pub Mug",45-50° F,,,
Exhibit 'A' Sunday Paper Imperial Stout,18.99,,,Imperial Stout,"Massachusetts, United States",Craft,9.9%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Rhinegeist Swizzle,10.99,,,Cider,"Ohio, United States",,5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Summit Della's Apple Strudel Hard Cider,11.99,,,Cider,"Colorado, United States",,6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Keybilly Island Ale,10.49,5,1,Fruit Beer,"Florida, United States",Craft,5.4%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Tecate Alta,3.99,5,3,American-Style Lager,Mexico,,4%,5,"Balanced, Crisp",,Pilsner Glass,35-40° F,85,2.4,
Solemn Oath Butterfly Flashmob Belgian IPA,13.99,,,IPA,"Illinois, United States",Craft,7.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Medford Brewing American Pale Ale,13.49,4.5,1,American Pale Ale,"Massachusetts, United States",Craft,6%,,,,Pint Glass,45-50° F,,,
Lost Nation Mosaic IPA,12.99,3.5,2,IPA,"Vermont, United States",Craft,5.5%,65,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Champlain Orchards Macintosh and Maple Cider,11.99,,,Cider,"Vermont, United States",,6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Bold Rock Premium Dry Cider,10.99,4.8,1,Cider,"Virginia, United States",,6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Duvel Single Fermented Belgian Golden Ale,16.36,,,Golden / Blonde Ale,Belgium,Craft,6.8%,,,,Pint Glass,45-50° F,,,
Spencer Trappist Imperial Stout,15.49,,,Imperial Stout,"Massachusetts, United States",Craft,8.7%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
ACE Variety Pack,20.99,4.2,2,Variety Pack Beer,United States,"Craft, Variety Pack",5%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Steel Toe Provider Ale,4.49,,,Golden / Blonde Ale,"Minnesota, United States",Craft,5%,,,,Pint Glass,45-50° F,,,
Starr Hill Northern Lights IPA,12.49,,,IPA,"Virginia, United States",Craft,4.6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Alley Kat Aprikat Apricot Ale,17.43,5,2,Wheat Ale,Canada,Independent Craft Brewer,5%,12,"Apricot, Balanced, Crisp, Flavored, Stone Fruit","Cheese - Fresh & Soft, Chicken",Pint Glass,45-50° F,,,
ACE Blackjack Cider,9.99,,,Cider,"California, United States",,9%,1,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Banded Norweald Stout,9.04,,,Stout,"Maine, United States",Craft,6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Nine Pin Ginger Cider,14.0,5,1,Cider,"New York, United States",,6.7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Lone Pine Portland Pale Ale,5.42,,,Pale Ale,"Maine, United States",Independent Craft Brewer,5.2%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29,New England / Hazy IPA,"Colorado, United States",Craft,7.5%,42,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,230,16,Kosher
J.K.'s Scrumpy Farmhouse Organic Hard Cider,14.72,5,1,Cider,"Michigan, United States",,6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Organic, Gluten Reduced"
5 Rabbit Super Pils,10.99,,,Pilsner,"Illinois, United States",Craft,7.2%,65,,,Pilsner Glass,40-45° F,,,
Brew Bus Rollin' Dirty Irish Red,10.49,5,2,Amber / Red Ale,"Florida, United States",Craft,5%,,,,Pint Glass,45-50° F,,,
Hoppin' Frog B.O.R.I.S. The Crusher Oatmeal Imperial Stout,18.69,,,Oatmeal Stout,"Ohio, United States",,9.4%,,,,Pint Glass,45-50° F,,,
Jackie O's Who Cooks For You,14.29,,,Pale Ale,"Ohio, United States",,5.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Pompette Rosé Hibiscus Hard Sparkling Water,12.09,,,Hard Seltzer,"New York, United States",Craft,5%,,,,Snifter/Goblet/Chalice,40-45° F,80,2,Gluten-Free
Summit Peach Hard Cider,11.99,4,1,Cider,"Colorado, United States",Craft,6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Roadhouse - Family Vacation Cream Ale,11.99,,,Cream Ale,"Wyoming, United States",,4.9%,,"Balanced, Bright, Crisp, Dry","Dessert - Chocolate & Coffee, Dessert - Fruit, Mushrooms, Pork",Pint Glass,45-50° F,,,
Portland Cider Pineapple Rosé Cider,14.99,,,Cider,"Oregon, United States",,5.2%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Flying Embers Pineapple Chili Hard Kombucha,4.99,4.4,4,Hard Kombucha,United States,,6.8%,,"Fresh, Pineapple, Spicy, Tropical Fruit",,,,130,0.0001,Organic
Flying Embers Black Cherry Hard Kombucha,4.99,4.3,2,Hard Kombucha,"California, United States",,7.2%,,"Cherry, Citrus, Fruity, Tart",,,,135,0.0001,Organic
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,95,0,Organic
Brouwerij West Dog Ate Homework,15.99,,,Fruit Beer,"California, United States",Craft,7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Hollywood Brewing Co. Mango IPA,10.99,3.5,1,IPA,"Florida, United States",Craft,6.2%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Troegs Nimble Giant Double IPA,14.99,4.8,1,Imperial / Double IPA,"Pennsylvania, United States",Craft,9%,69,,,Snifter/Goblet/Chalice,50-55° F,,,
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3,Hard Seltzer,United States,Variety Pack,5%,,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",,Snifter/Goblet/Chalice,40-45° F,95,0,"Gluten-Free, Organic"
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",,Snifter/Goblet/Chalice,40-45° F,,,Organic
Avery Brewing White Rascal,11.99,4.8,5,Witbier,"Colorado, United States","Independent Craft Brewer, Craft",5.6%,22,"Creamy, Citrus, Yeasty","Duck & Game Bird, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
Evil Genius I'll Have What She's Having Imperial Stout,12.49,,,Imperial Stout,"Pennsylvania, United States",Independent Craft Brewer,9.4%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Solemn Oath Butterfly Flashmob Belgian IPA,13.99,,,IPA,"Illinois, United States",Craft,7.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Virtue Cider Pear,11.99,,,Cider,"Michigan, United States",,7.8%,,,,,,,,Gluten Reduced
Modern Times Space Ways Hazy IPA,3.99,,,New England / Hazy IPA,"California, United States",,6.7%,40,,,Snifter/Goblet/Chalice,45-50° F,,,
Rhinegeist Swizzle,10.99,,,Cider,"Ohio, United States",,5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Hoppin' Frog B.O.R.I.S. The Crusher Oatmeal Imperial Stout,18.69,,,Oatmeal Stout,"Ohio, United States",,9.4%,,,,Pint Glass,45-50° F,,,
Summit Della's Apple Strudel Hard Cider,11.99,,,Cider,"Colorado, United States",,6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Golden Road Brewing Balboa Blonde Ale,11.34,,,Golden / Blonde Ale,"California, United States",Craft,4.8%,15,"Crisp, Fresh, Fruity, Smooth, Sweet",,Pint Glass,45-50° F,,,
